side,path,bytes,sha256,creation_utc,modified_utc
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/batch-mode/SKILL.md,6154,5461F8632539863F764F287D821249B4B33CD4191BBAAD7D273A053FB0EFF907,2026-08-18T12:18:44.7595700Z,2026-08-18T12:18:44.7595700Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/autodream/SKILL.md,4777,F632023CFFA1EE28162C69B77C97543D79DE4640E476BA0DAE1D42E787FAEE52,2026-08-18T12:18:44.7595700Z,2026-08-18T12:18:44.7595700Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/anti-distillation/SKILL.md,6023,E75B03831C383A655701E3DDB61FA8B4D99EB3D4682362D7619CA97D1CE0D145,2026-08-18T12:18:44.7595700Z,2026-08-18T12:18:44.7595700Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/docs/index.html,22052,749F2BA8AC122040BB402129791E3C70B169D215E39C6A299DD54FFAEBBD505F,2026-08-18T12:18:44.7500094Z,2026-08-18T12:18:44.7500094Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/docs/llms.txt,5206,C50F73EEB1132F87864DBB6475DFE6D2D8F32AA908849C3ED3435D7C09D47D27,2026-08-18T12:18:44.7500094Z,2026-08-18T12:18:44.7500094Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/docs/robots.txt,473,B1B288AC2A4A37F1FF9DDC8D00BFC80ACF7B1A02FC6D7AA60EBF9597545980B0,2026-08-18T12:18:44.7500094Z,2026-08-18T12:18:44.7500094Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/docs/sitemap.xml,288,921C08DFBD036ED9DD16C3168DFE397B0800B9A5A0ADCFF89F09F56549FDB84A,2026-08-18T12:18:44.7500094Z,2026-08-18T12:18:44.7500094Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/.claude-plugin/plugin.json,672,28F901DD9AAF19454DCC7CB2AD6FAC5487C798BD076D0F6D15F3629FD62917C6,2026-08-18T12:18:44.7376174Z,2026-08-18T12:18:44.7376174Z
Legal-desktop,donors/appellate-mandate/appellate-mandate/SKILL.md,5048,6776C450EB8B3F96F7841F2CF4D78004C4D83BFD589CC6A60E4614440D057561,2026-08-18T12:18:47.8317397Z,2026-08-18T12:18:47.8317397Z
Legal-desktop,donors/appellate-formatting/appellate-formatting/SKILL.md,8774,76526EE4ABC7BB5DEC32846182FF77B3B9F3BE68C4E4B133A4AF44CE9F1DB9A2,2026-08-18T12:18:47.8317397Z,2026-08-18T12:18:47.8317397Z
